level,dataset,model,nll,multiclass_brier,ece,ece_bins
dataset,physionet_mi,cardinal_fbc_compactdyn_scale025,1.209767221161602,0.6781978732475766,0.314347500972787,15
dataset,physionet_mi,cardinal_fbc_compactdyn_scale025_extended,1.206055627545925,0.6774984954930604,0.31750663519886785,15
dataset,physionet_mi,cardinal_fbc_micro,1.2089926984377917,0.675346859608329,0.3144806594269757,15
dataset,physionet_mi,cardinal_fbc_micro_extended,1.2140483231906583,0.6833315189522507,0.3184366334465795,15
dataset,physionet_mi,cardinal_fbc_physical,1.2271126658281484,0.6811122266991815,0.31485549628489307,15
dataset,physionet_mi,cardinal_fbc_physical_extended,1.217425527257156,0.6805777373657783,0.3173119308575682,15
dataset,physionet_mi,eegtcnet,0.6956254652877286,0.5016065233348164,0.0864697516406024,15
dataset,physionet_mi,fbmsnet,1.0974570789242166,0.6380118699772145,0.2854450291959347,15
dataset,physionet_mi,cardinal_fbms,1.0986297514330081,0.6384803760106754,0.286072315139535,15
dataset,physionet_mi,cardinal_fbms_extended,1.097622735291675,0.6385368515617935,0.28705832198323533,15
dataset,physionet_mi,cardinal_mix,0.8709379737071602,0.5739053729952642,0.24632774138156283,15
dataset,physionet_mi,cardinal_mix_drop,0.8115492160670753,0.5542904689901204,0.23224056904208026,15
dataset,physionet_mi,ctnet,0.8042815391010321,0.5609197337485132,0.20647664854555958,15
dataset,physionet_mi,ctnet_compact,0.7281041470979885,0.5227257520626347,0.1602895752196449,15
dataset,physionet_mi,eegsym,0.6959540025228776,0.5025703141292038,0.07027222346376488,15
dataset,physionet_mi,eegsym_wide,0.720872903804217,0.5130517103176255,0.1168739452774142,15
dataset,physionet_mi,tcformer,0.6609341467086828,0.4708248504071179,0.08051373061329249,15
equal_dataset_macro,ALL_DATASETS,scope,0.8720226153702437,0.5385821445514158,0.19719486711467452,15
equal_dataset_macro,ALL_DATASETS,free_scope,0.766039670288639,0.4792819068756347,0.17386002898288705,15
equal_dataset_macro,ALL_DATASETS,cardinal,0.6023989533945079,0.3860991151323008,0.12940827685590456,15
equal_dataset_macro,ALL_DATASETS,free_cardinal,0.5791077118775612,0.36996543381847136,0.12174063855462443,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics,0.532958909636956,0.34064095818044626,0.09840798149725251,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics_compact,0.5275729048444187,0.3372421366148083,0.09301176965481814,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics_extended,0.5204415246680327,0.3322480968364224,0.09403940475381814,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics_sinc,0.5317241630983427,0.340856238319273,0.0930825283916171,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics_sinc_residual,0.526495822419336,0.33720545470251884,0.09130390336178332,15
equal_dataset_macro,ALL_DATASETS,cardinal_dynamics_sinc_extended,0.5149064238141066,0.32959453724169563,0.09084607217375135,15
equal_dataset_macro,ALL_DATASETS,eegnet,0.6098228279701066,0.3915002568092794,0.05846711692178082,15
equal_dataset_macro,ALL_DATASETS,shallow,0.6389028204728597,0.39422698246596666,0.1325490577914617,15
equal_dataset_macro,ALL_DATASETS,deep4,0.7746612994311244,0.5038224560055939,0.11771321958214745,15
equal_dataset_macro,ALL_DATASETS,eegconformer,0.7106746232064739,0.3999312552194964,0.1312007869494203,15
equal_dataset_macro,ALL_DATASETS,eegconformer_compact,0.7053355419584187,0.40260677255647376,0.1337118322433267,15
equal_dataset_macro,ALL_DATASETS,atcnet,0.577175889503408,0.3697861427155632,0.0834109534262627,15
equal_dataset_macro,ALL_DATASETS,atcnet_aggressive_pool,0.5756703461551658,0.36864419721349895,0.08361967289951815,15
equal_dataset_macro,ALL_DATASETS,fbcnet,0.6407467831936738,0.3776730675838572,0.14289106025227874,15
