dataset,model,subject,seeds_averaged,test_trials_per_seed,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_004,atcnet,4,5,320,0.97,5,0.97,5,0.9400000000000001,5,0.9699945788719176,5,0.9399999999999998,5,0.9953515625000001,5,0.08935279409910282,5,0.04829195365621959,5,0.017313009724020965,5
bnci2014_004,atcnet,5,5,320,0.8924999999999998,5,0.8924999999999998,5,0.7849999999999999,5,0.8914317317640001,5,0.7849999999999999,5,0.9730703125,5,0.26899329230696534,5,0.15565843060157408,5,0.04222681969404221,5
bnci2014_004,atcnet,6,5,320,0.834375,5,0.834375,5,0.66875,5,0.8324249838885025,5,0.66875,5,0.93215625,5,0.39336607652714817,5,0.2460295745790729,5,0.07633427016437055,5
bnci2014_004,atcnet,7,5,320,0.8262500000000002,5,0.8262500000000002,5,0.6525,5,0.8251001068853997,5,0.6525000000000001,5,0.9200625,5,0.41239187964686524,5,0.2514826549037581,5,0.08251272033900023,5
bnci2014_004,atcnet,8,5,320,0.9193750000000002,5,0.9193750000000002,5,0.8387499999999999,5,0.9193559429531438,5,0.8387499999999999,5,0.9789921875,5,0.19293389203967146,5,0.11400466473138246,5,0.0283419044315815,5
bnci2014_004,atcnet,9,5,320,0.884375,5,0.884375,5,0.76875,5,0.884237813147689,5,0.7687499999999999,5,0.9592890624999999,5,0.26416885056315137,5,0.16150764472831125,5,0.03327648885548115,5
bnci2014_004,atcnet_aggressive_pool,1,5,320,0.6900000000000001,5,0.6900000000000001,5,0.38000000000000006,5,0.659969258419135,5,0.38,5,0.8354374999999999,5,0.7894537422070655,5,0.4728154398139071,5,0.19374653387814758,5
bnci2014_004,atcnet_aggressive_pool,2,5,280,0.5085714285714286,5,0.5085714285714286,5,0.01714285714285717,5,0.4808025943566515,5,0.017142857142857192,5,0.5116938775510204,5,0.6970287334558048,5,0.5038189641404598,5,0.05999062623296464,5
bnci2014_004,atcnet_aggressive_pool,3,5,320,0.5,5,0.5,5,2.2204460492503132e-17,5,0.4323740768859894,5,2.2204460492503132e-17,5,0.5323984375,5,0.6945148932429063,5,0.5013596747810212,5,0.047406011857092395,5
bnci2014_004,atcnet_aggressive_pool,4,5,320,0.969375,5,0.969375,5,0.93875,5,0.9693673991170894,5,0.93875,5,0.9955781250000001,5,0.0862851078948963,5,0.04757443955575386,5,0.01638074483722445,5
