model,comparator,seed,dataset,subjects,balanced_accuracy_difference
cardinal_dynamics_sinc_residual,tcformer,37,bnci2014_001,9,-0.019675925925925906
cardinal_dynamics_sinc_residual,tcformer,37,bnci2014_004,9,0.006795634920634915
cardinal_dynamics_sinc_residual,tcformer,37,cho2017,52,0.0003205128205128119
cardinal_dynamics_sinc_residual,tcformer,37,physionet_mi,54,0.017959965423733532
cardinal_dynamics_sinc_residual,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.003503295885542259
cardinal_dynamics_sinc_residual,tcformer,47,local_exp4,8,-0.03124999999999996
cardinal_dynamics_sinc_residual,tcformer,47,bnci2014_001,9,-0.026620370370370364
cardinal_dynamics_sinc_residual,tcformer,47,bnci2014_004,9,0.021081349206349218
cardinal_dynamics_sinc_residual,tcformer,47,cho2017,52,0.0002884615384615419
cardinal_dynamics_sinc_residual,tcformer,47,physionet_mi,54,0.02747911307693917
cardinal_dynamics_sinc_residual,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.001804289309724079
cardinal_dynamics_sinc_extended,tcformer,7,local_exp4,8,-0.008333333333333345
cardinal_dynamics_sinc_extended,tcformer,7,bnci2014_001,9,0.015817901234567902
cardinal_dynamics_sinc_extended,tcformer,7,bnci2014_004,9,0.011805555555555612
cardinal_dynamics_sinc_extended,tcformer,7,cho2017,52,-0.0007051282051282043
cardinal_dynamics_sinc_extended,tcformer,7,physionet_mi,54,0.0238618064705021
cardinal_dynamics_sinc_extended,tcformer,7,EQUAL_DATASET_OVERALL,132,0.008489360344432812
cardinal_dynamics_sinc_extended,tcformer,17,local_exp4,8,-0.012499999999999997
cardinal_dynamics_sinc_extended,tcformer,17,bnci2014_001,9,-0.022376543209876556
cardinal_dynamics_sinc_extended,tcformer,17,bnci2014_004,9,-0.0013392857142857403
cardinal_dynamics_sinc_extended,tcformer,17,cho2017,52,-0.003910256410256419
cardinal_dynamics_sinc_extended,tcformer,17,physionet_mi,54,-0.0006184603104892986
cardinal_dynamics_sinc_extended,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.008148909128981602
cardinal_dynamics_sinc_extended,tcformer,27,local_exp4,8,0.0
cardinal_dynamics_sinc_extended,tcformer,27,bnci2014_001,9,-0.00617283950617283
cardinal_dynamics_sinc_extended,tcformer,27,bnci2014_004,9,0.013442460317460318
cardinal_dynamics_sinc_extended,tcformer,27,cho2017,52,0.0031891025641025673
cardinal_dynamics_sinc_extended,tcformer,27,physionet_mi,54,0.014808410188844975
cardinal_dynamics_sinc_extended,tcformer,27,EQUAL_DATASET_OVERALL,132,0.005053426712847006
cardinal_dynamics_sinc_extended,tcformer,37,local_exp4,8,0.022916666666666655
cardinal_dynamics_sinc_extended,tcformer,37,bnci2014_001,9,-0.03125
cardinal_dynamics_sinc_extended,tcformer,37,bnci2014_004,9,0.0107142857142857
cardinal_dynamics_sinc_extended,tcformer,37,cho2017,52,0.002644230769230767
cardinal_dynamics_sinc_extended,tcformer,37,physionet_mi,54,0.034488257314344274
