dataset,model,subject,seed,folds_concatenated,test_trials,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
local_exp4,free_scope,6,27,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9933333333333334,0.08719700691529428,0.04296667081831343,0.03690202434857688
local_exp4,free_scope,6,37,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9933333333333334,0.10232223867879489,0.04754326819193948,0.04907790025075277
local_exp4,free_scope,6,47,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666295884315907,0.9333333333333333,0.9977777777777778,0.10303372619134113,0.05956715456797397,0.0673220157623291
local_exp4,free_scope,7,7,1,60,0.5166666666666667,0.5166666666666667,0.03333333333333344,0.46279715961716583,0.033333333333333326,0.6411111111111112,0.7829529807612701,0.5509235888143046,0.22303245067596436
local_exp4,free_scope,7,17,1,60,0.48333333333333334,0.4833333333333333,-0.03333333333333344,0.4762038862292312,-0.03333333333333344,0.6322222222222222,0.960424222151643,0.6676835482245456,0.3542435924212138
local_exp4,free_scope,7,27,1,60,0.5166666666666667,0.5166666666666667,0.03333333333333344,0.3939393939393939,0.033333333333333326,0.5955555555555556,0.9900927680125773,0.6804042629242737,0.3540636360645294
local_exp4,free_scope,7,37,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.5286195286195287,0.06666666666666665,0.6122222222222222,0.8424327682674115,0.569575590130973,0.22700048387050625
local_exp4,free_scope,7,47,1,60,0.55,0.55,0.10000000000000009,0.52,0.09999999999999998,0.5866666666666667,0.9181832895715957,0.6370278038922077,0.28248005310694374
local_exp4,free_scope,8,7,1,60,0.65,0.65,0.30000000000000004,0.6451703745423825,0.30000000000000004,0.7555555555555555,0.5885380016902911,0.4001115554305571,0.1379014859596888
local_exp4,free_scope,8,17,1,60,0.5,0.5,0.0,0.36079545454545453,0.0,0.5255555555555556,0.7841259934593412,0.574150963670012,0.18730667531490325
local_exp4,free_scope,8,27,1,60,0.6333333333333333,0.6333333333333333,0.2666666666666666,0.6052631578947368,0.2666666666666667,0.8177777777777777,0.6302103484320483,0.44759316196220056,0.16554552515347798
local_exp4,free_scope,8,37,1,60,0.5166666666666667,0.5166666666666666,0.033333333333333215,0.5165323701028064,0.033333333333333326,0.6000000000000001,0.7575916373153173,0.5484028436793499,0.21008897026379902
local_exp4,free_scope,8,47,1,60,0.6166666666666667,0.6166666666666667,0.2333333333333334,0.5739425748687866,0.23333333333333328,0.6611111111111111,0.7368791915303677,0.5217882816447396,0.17767683664957684
local_exp4,free_scope,10,7,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8665183537263625,0.7333333333333334,0.9433333333333334,0.3087484602493571,0.19951837800758607,0.09924244681994122
local_exp4,free_scope,10,17,1,60,0.8166666666666667,0.8166666666666667,0.6333333333333333,0.8166157265907197,0.6333333333333333,0.93,0.3335033510906398,0.22907652205734402,0.0779354254404704
local_exp4,free_scope,10,27,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8666666666666667,0.7333333333333334,0.9533333333333334,0.2801857996458621,0.17796125535115906,0.023002068201700844
local_exp4,free_scope,10,37,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8665183537263625,0.7333333333333334,0.9411111111111112,0.3407441293220637,0.19242866987745827,0.0857044100761414
local_exp4,free_scope,10,47,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8666666666666667,0.7333333333333334,0.9433333333333334,0.32965849366188343,0.187844315912446,0.10181663135687508
local_exp4,cardinal,1,7,1,60,0.7166666666666667,0.7166666666666667,0.43333333333333335,0.7101449275362319,0.43333333333333335,0.8066666666666666,0.5876333797359032,0.38901828996219373,0.12700555026531218
local_exp4,cardinal,1,17,1,60,0.75,0.75,0.5,0.7465502675302731,0.5,0.8099999999999998,0.5599022097314658,0.3775587641756829,0.12849920590718586
local_exp4,cardinal,1,27,1,60,0.7333333333333333,0.7333333333333334,0.4666666666666668,0.7306397306397306,0.4666666666666667,0.7955555555555556,0.5855762194163141,0.38630249399155187,0.1500593900680542
local_exp4,cardinal,1,37,1,60,0.7,0.7,0.3999999999999999,0.6945701357466063,0.4,0.7777777777777778,0.5683247576634346,0.38249600067776446,0.11239911218484244
local_exp4,cardinal,1,47,1,60,0.6333333333333333,0.6333333333333333,0.2666666666666666,0.6228571428571429,0.2666666666666667,0.7566666666666666,0.6609475255680289,0.4460051108985592,0.19304566880067192
local_exp4,cardinal,3,7,1,60,0.9,0.9,0.8,0.9,0.8,0.9577777777777778,0.2822482873921922,0.17437750495422505,0.09615299701690677
